Setting logging level to INFO
2026-05-23 22:51:30.594+07:00 | main | INFO  | Besu | Starting Besu
2026-05-23 22:51:30.921+07:00 | main | INFO  | Besu | Connecting to 0 static nodes.
2026-05-23 22:51:30.931+07:00 | main | INFO  | Besu | Forcing price bump for transaction replacement to 0, since we are on a zero basefee network
2026-05-23 22:51:30.932+07:00 | main | INFO  | Besu | Forcing price bump for transaction replacement to 0, since min-gas-price is set to 0
2026-05-23 22:51:30.933+07:00 | main | WARN  | Besu | Forcing tx-pool-min-gas-price=0, since it cannot be greater than the value of min-gas-price
2026-05-23 22:51:30.947+07:00 | main | INFO  | Besu | jemalloc library not found, memory usage may be reduced by installing it
2026-05-23 22:51:31.035+07:00 | main | INFO  | Besu | 
####################################################################################################
#                                                                                                  #
# Besu version 24.1.2                                                                              #
#                                                                                                  #
# Configuration:                                                                                   #
# Network: Custom genesis file                                                                     #
# /home/habb/Kuliah/blockchain/Bhumi/besu-network/genesis.json                                     #
# Network Id: 31337                                                                                #
# Data storage: Forest                                                                             #
# Sync mode: Full                                                                                  #
# RPC HTTP APIs: ETH,NET,IBFT,ADMIN,DEBUG,WEB3                                                     #
# RPC HTTP port: 8545                                                                              #
# Using LAYERED transaction pool implementation                                                    #
# Using STACKED worldstate update mode                                                             #
#                                                                                                  #
# Host:                                                                                            #
# Java: openjdk-java-17                                                                            #
# Maximum heap size: 7.77 GB                                                                       #
# OS: linux-x86_64                                                                                 #
# glibc: 2.39                                                                                      #
# Total memory: 31.05 GB                                                                           #
# CPU cores: 24                                                                                    #
#                                                                                                  #
# Plugins:                                                                                         #
# TOTAL = 0 of 0 plugins successfully loaded                                                       #
# from /home/habb/Kuliah/blockchain/Bhumi/besu-binary/plugins                                      #
#                                                                                                  #
####################################################################################################
2026-05-23 22:51:31.035+07:00 | main | INFO  | Besu | Security Module: localfile
2026-05-23 22:51:31.066+07:00 | main | INFO  | Besu | Using the native implementation of alt bn128
2026-05-23 22:51:31.089+07:00 | main | INFO  | Besu | Using the native implementation of modexp
2026-05-23 22:51:31.089+07:00 | main | INFO  | Besu | Using the native implementation of the signature algorithm
2026-05-23 22:51:31.094+07:00 | main | INFO  | Besu | Using the native implementation of the blake2bf algorithm
2026-05-23 22:51:31.198+07:00 | main | INFO  | Besu | Forcing price bump for transaction replacement to 0, since we are on a zero basefee network
2026-05-23 22:51:31.199+07:00 | main | INFO  | Besu | Forcing price bump for transaction replacement to 0, since min-gas-price is set to 0
2026-05-23 22:51:31.199+07:00 | main | WARN  | Besu | Forcing tx-pool-min-gas-price=0, since it cannot be greater than the value of min-gas-price
2026-05-23 22:51:31.200+07:00 | main | INFO  | KeyPairUtil | Attempting to load public key from /home/habb/Kuliah/blockchain/Bhumi/besu-network/node3/data/key
2026-05-23 22:51:31.219+07:00 | main | INFO  | KeyPairUtil | Loaded public key 0xf6c74bd81d47e9ddd49ddc11329860be6bfb64cf4a43c9eae3d4b81c08e83154822d110586f08f61d9f26235d0983d9da3af7f0677acfd31467d056cad87e0d2 from /home/habb/Kuliah/blockchain/Bhumi/besu-network/node3/data/key
2026-05-23 22:51:31.308+07:00 | main | INFO  | ProtocolScheduleBuilder | Protocol schedule created with milestones: [London:0]
2026-05-23 22:51:31.329+07:00 | main | INFO  | DatabaseMetadata | Lookup database metadata file in data directory: /home/habb/Kuliah/blockchain/Bhumi/besu-network/node3/data
2026-05-23 22:51:31.357+07:00 | main | INFO  | RocksDBKeyValueStorageFactory | Existing database detected at /home/habb/Kuliah/blockchain/Bhumi/besu-network/node3/data. Version 1. Compacting database...
2026-05-23 22:51:31.659+07:00 | main | INFO  | TransactionPoolFactory | Enabling transaction pool
2026-05-23 22:51:31.671+07:00 | main | INFO  | BesuControllerBuilder | TTD difficulty is not present, creating initial sync phase for PoW
2026-05-23 22:51:31.687+07:00 | main | INFO  | IbftBesuControllerBuilder | Starting IBFT mining coordinator
2026-05-23 22:51:32.256+07:00 | main | INFO  | RunnerBuilder | Resolved 2 bootnodes.
2026-05-23 22:51:32.260+07:00 | main | INFO  | RunnerBuilder | Detecting NAT service.
2026-05-23 22:51:32.425+07:00 | main | INFO  | Runner | Starting external services ... 
2026-05-23 22:51:32.425+07:00 | main | INFO  | JsonRpcHttpService | Starting JSON-RPC service on 0.0.0.0:8545
2026-05-23 22:51:32.494+07:00 | vert.x-eventloop-thread-1 | INFO  | JsonRpcHttpService | JSON-RPC service started and listening on 0.0.0.0:8545
2026-05-23 22:51:32.496+07:00 | main | INFO  | WebSocketService | Starting Websocket service on 0.0.0.0:8546
2026-05-23 22:51:32.498+07:00 | vert.x-eventloop-thread-1 | INFO  | WebSocketService | Websocket service started and listening on 0.0.0.0:8546
2026-05-23 22:51:32.500+07:00 | main | INFO  | AutoTransactionLogBloomCachingService | Starting auto transaction log bloom caching service.
2026-05-23 22:51:32.501+07:00 | main | INFO  | LogBloomCacheMetadata | Lookup cache metadata file in data directory: /home/habb/Kuliah/blockchain/Bhumi/besu-network/node3/data/caches
